,emotion,content,updated_content
1499,happiness,@madonnacalling my fav CD,far d
1504,happiness,my new phrase is 'you never doubt mo williams'   six game win streak!,new phrase doubt mo william game win streak
1506,happiness,"@RobM67 I just retweeted your jesus post as it made me laugh... don't worry, wasn't a subliminal code",retreat jesu post laugh dont worri want sublimin code
1511,happiness,@beautyholic woohoooo ;) to BOTH! retail therapy and surprise visits  two things i love.,woohoooo ) retail therapi surpris visit thing love
1528,happiness,"@skingirl69 yeah, i'm so excited.",yeah in excit
1529,happiness,@bbrownnewcolleg congratulations!,congratul
1536,happiness,"1st place at competition, and superior.",st place competit superior
1537,happiness,making margaritas and about to watch Milk. Good times,make margarita watch milk good time
1541,happiness,"is going to get her ass in gear, have some brekkie then make a start on the kitchen! woo! BBQ later too  Good times",go as gear brekki start kitchen who by later good time
1555,happiness,"thanks mom, we love you too.",thank mon love
1557,happiness,"@penguinsnews Go Pens go, Gino Wins it for the Pens",pen gin win pen
1574,happiness,@gossipboy630 hahah really? some guy said i looked 14. i dont look young,ahahah guy said look dont look young
1585,happiness,@NeilMcDaid looks class the water splash looks so real  looking forward to my review copy ;),look class water splash look real look forward review copi )
1594,happiness,"@ikostar well, if Twitter was $1 a year, I think it'd be a lot easier to monetize than at $30  Less need for differentiated pay/nopay.",twitter $ year think it lot easier monet $ need differenti pay/pay
1595,happiness,had the best weekend,best weekend
1601,happiness,@susiecheng We all need that simple reminder-thx!,need simpl reminderthx
1605,happiness,@SherriEShepherd Hey Sherri! Thanx 4 da messages Wondering if u could follow me? Plzzzz,hey sherri than da messag wonder u follow plzzzz
1606,happiness,@B_Wright THANK YOU! &quot;Return of the Mack&quot; is THE jam!,thank quotreturn jacquot jam
1650,happiness,@redheadlori Happy Mothers Day!,happi mother day
1657,happiness,"coach says have come along way, faster that alot of people  oh yeah whos the man. ohh very sore",coach say come way faster clot peopl oh yeah who man oh sore
1665,happiness,"getting ready for the day, out then work till close",get readi day work till close
1670,happiness,"@QueenofKong We should have a twitter reunion it would be awesome to meet you all lol, iwonder howd iget that to pull off",twitter reunion awesom meet ll wonder how get pull
1682,happiness,@MC_Craig_G Hope your enjoying the money..it's looking real good to me right now,hope enjoy moneyit look real good right
1687,happiness,@wendywings cute   Time for a twitpic ;),cut time twitpic )
1692,happiness,Hey everybody!  hah this day is cool! just got back from walk with the dog... @klaudialorincz OMGosh! Send me the link again please!,hey everybodi had day cool got walk dog omgosh send link
1696,happiness,@youulovemee she is good! so gor-juz yea i kno i asked her yesterday when we were at tha hospital if she talked to u and she said no,good gorjuz yea no ask yesterday the hospit talk u said
1698,happiness,Excited to see the girls today; @takinakab its boring at work without you,excit girl today bore work
1703,happiness,Clive it's my birthday pat me  http://apps.facebook.com/dogbook/profile/view/6386106,live birthday pat http://appsfacebookcom/dogbook/profile/view/
1706,happiness,@bigeyedfishie it was AMAZING!!! Had the best time  hope you had a good weekend too.,amaz best time hope good weekend
1708,happiness,@cresh182 have fun ! bbq is good ! no matter where it is,fun by good matter
1710,happiness,"@kellykleinwi okay, thanks!",okay thank
1714,happiness,"For US tweeps, don't forget to call your mom today...",sweep dont forget mon today
1729,happiness,"@britneyspears thanks for following me, hope all is well and cant wait to see you in australia when ya come.",thank follow hope can wait australia a come
1737,happiness,@peacefullvegan I LOVE PD! So fucking good! I wanted to try something new...I give it 2.5/5 stars. It's meh.,love pp fuck good want tri new / star me
1738,happiness,Happy mother's day @mrskutcher,happi mother day
1749,happiness,I am so happy. Keve is here for early Mother's day. Let's be quiet. He drove all night and is sleeping.,happi eve earli mother day let quiet drove night sleep
1756,happiness,@toddkashdan thanks Todd. Enjoyed reading your blog too - I had a little cheer for good old Alfred Wallace. Curious to read your book,thank told enjoy read blow littl cheer good old alfr palac curiou read book
1783,happiness,"Heading of to the theatre! Having a show tonight, I'm so exited!",head theatr tonight in excit
1784,happiness,new phones just arrived in the office. not much else is gona get done today,new phone arriv offic gone today
1786,happiness,"@traceyctt I live for pain, bring it on",live pain bring
1788,happiness,Last night went really well. Got some cracking shots,night went got crack shot
1801,happiness,watching &quot;Look for a Star&quot; with mom again  lub ah C hehe,watch outlook starquot mon club ah c here
1809,happiness,Off to England during the summer holidays this year.... yay!,england summer holiday year may
1833,happiness,hey im back on.. but msn won't work  darn msn haha. can't stop thinking about 3d movie haha!,hey in man wont work dark man hata can stop think d movi hata
1853,happiness,Aww. I'm glad that I'm up at this obscenely late/early hour. Because I just found out that Forest Kline is engaged.,www in glad in obscur late/earli hour found forest line engag
1861,happiness,our south style exhibition is on in less than a week  member fresh gallery otara!,south style exhibit week member fresh galleri start
1873,happiness,@kayles yessss it does! YAY! told you it was awesome,messr may told awesom
1879,happiness,sooo pleased the sun is shining today! garden here I come,soon plea sun shine today garden come
1885,happiness,"@stryperband - Love the comeback, I will stay tuned! You fellows should follow people on here though. You'll in turn get more followers",love comeback stay tune fellow follow peopl you turn follow
1894,happiness,@goldenboyluke  be sure to go by my blog today    -  and check out your friends - I bet you have some new ones today!,sure blow today check friend bet new one today
1904,happiness,I had a super cool dream last night. @TheEllenShow asked me and @danify to be on her show. Wooowww.  *hopes it will come true* ),super cool dream night ask wooowww *hope come true* )
1905,happiness,"@LeeHongRui hahaha.. it's ok, how can I hire your mom??! So paiseh.. haha, I shall do all the washing then",havana ok hire mon pas hata shall wash
1908,happiness,Good nite everybody!  &lt;:Baby Boy:&gt;,good note everybodi it:babi boy:it
1920,happiness,going to the cinema to see ghost of girlfriends past!,go cinema ghost girlfriend past
1933,happiness,@kayleelovexx love those panties,love parti
1936,happiness,@HilzFuld haha this tripped me up once when I was talking to Harvard - I read it as an aussie automatically - came off as an idiot,hata trip talk harvard read russi automat came idiot
1937,happiness,had a great day,great day
1946,happiness,@cubedweller What are we doin!!?? Tell me! tell me!,down tell tell
1956,happiness,Yes... today is Star Wars Day!    May the 4th be with you!,ye today star war day th
1964,happiness,@AsunUnique  Apple has done some impressive things for my almost 2 year old macbook. Except when I poured coffee into the keyboard.,appl impress thing year old malbrook pour coffe keyboard
1966,happiness,"yay playing scattegories and being random with Joel, May &amp; Sherman",may play categori random joel amp sherman
1971,happiness,"Chillin with the rents, and looking at hilarious old photos. Well funny!",chill rent look hilari old photo funni
1972,happiness,"I have lived through our band's first performance, and it was pretty damn fun.",live band perform pretti damn fun
1975,happiness,@Darke_Ascension Hope it's a great one for ya  http://myloc.me/tvD,hope great a http://mylocme/t
1980,happiness,all alone for the weekend!,weekend
1987,happiness,"me 10 - 630, andrew 8 - 4. No idea about the rest, I think it was Ben and Princeton which could be fun  lol I'm going to be late",andrew idea rest think ben princeton fun ll in go late
1990,happiness,is feeling very happy despite the amount of work that i need to do today!!! Happy times,feel happi despit work need today happi time
1993,happiness,"@katoi awww, a very happy birthday to him",www happi birthday
2003,happiness,@officialTila tilaaa just make you feel so special  haha haters now days,tiara feel special hata water day
2007,happiness,FINALLY have a working (subbed!) copy of Pika?Nichi.   Heeeee.,final work (rubbed) copi pikanichi helen
2012,happiness,Hey guys I'm going to create an iPhone app that's a twitter client called Tweetilicious please @reply me your thoughts!,hey gun in go creat phone pp that twitter client call tweetilici thought
2016,happiness,@telesilla Indeed. Thanks for sharing that! Now I can go to sleep giggling. Night!,thank share sleep tingl night
2038,happiness,"@Vitriol_: &quot;@lordmitchnz  Good evening, kind sir *bows*&quot; ? http://blip.fm/~5z7zv",quit good even kind sir *bows*quit http://blipfm/~iv
2039,happiness,need to cheer up!,need cheer
2040,happiness,@MrsPinkyIvory Hey Pinky I ordered some stuff from that site you gave me. I got it yesterday in the mail so pretty  thanks,hey pink order stuff site gave got yesterday mail pretti thank
2053,happiness,"OMG i'm so happy as now,thanks to Micheal Sheen (aka Aro)  i know that the photoshoot for the volturi has been done!!! happies!!",org in happi nowthank michael sheen (ak are) know photoshoot voltorn happier
2060,happiness,@TheKellanLutz OMG i want to go too!  hahaha,org want havana
2072,happiness,@keza34 @ComedyQueen morning,morn
2078,happiness,@jbrigante haha. I'm on drink #2. Cheat day for me,hata in drink # cheat day
2084,happiness,I'm feeling higher than Mt Everest,in feel higher mt everett
2088,happiness,@Ashika_Sunshine  I figured that... But I ended up taking my cousin to work in the Rain anyway...    But hit me up,figur end take cousin work rain hit
2090,happiness,"Good stuff, Smiles back? Why won't you go to his concert too? :o. Wish I could instead of working on my music which is failing  lol x",good stuff smile wont concert :o wish instead work music fail ll x
2092,happiness,"LOVED AP Tour in Columbus, OH last night! I'm still exhausted! Goin to bed now so sweet dreams!! gnight!!",love a tour columbu oh night in exhaust go bed sweet dream night
2097,happiness,@Irish1974 Its Bank Holiday here so day off,bank holiday day
2103,happiness,http://twitpic.com/66uq4 - hotttt weather! getting blackk before it starts to rain again,http://twitpiccom/up hottest weather get black start rain
2109,happiness,@SpinachPuffs yeeeeah . . . and it was in into too  seen Empire top 100 computer games? http://www.empireonline.com/100greatestgames/,yeeeeah seen empir comput game http://wwwempireonlinecom/greatestgames/
2112,happiness,"@BeccyR It's a program that shows all Twitter and Facebook status updates all in one.. it's alright, but yeah probably won't use it often",program show twitter facebook statu updat alright yeah probabl wont use
2113,happiness,Well that was an interesting attempt at the commute to work... didn't exactly plan to end up where I did though...great,interest attempt commun work didn exactli plan end thoughgreat
2117,happiness,@krissy_tina @_adriii guys  i am literally going to sydney in the june/july hols. can we meet? i wanna try one of those lindt cafes!,gun liter go sydney june/juli hold meet anna tri lint case
2127,happiness,@serenechai that's cool! i think del's going to korea same time as you! have fun!,that cool think de go more time fun
2128,happiness,@clockworkmelt LOL I feel like drunk right now...,ll feel like drunk right
2129,happiness,@peacelovekelly and we will all eat it and be happy,eat happi
2136,happiness,Star trek was good times.,star tree good time
2138,happiness,HAPPY STAR WARS DAY EVERYONE  any excuse for a few drinkies eh?,happi star war day excus drink eh
2149,happiness,had a lovely breakfast with mum...yummy pancakes,love breakfast mumyummi pancak
2152,happiness,For @mizhalle  ? http://blip.fm/~5jbp3,http://blipfm/~bi
2160,happiness,@AndreasHale yeah !!,yeah
2167,happiness,HAPPY MOTHER'S DAY to all of the wonderful women out there.  Have a great and relaxful day.,happi mother day wonder woman great relax day
2172,happiness,omg a rat... ewwwww. omg i cant wait for tha marra.. so ecxcited. annabel cant go tho,org rat ewwwww org can wait the marya excit annal can the
2182,happiness,@BaybeehDoll No u miss me !!!!! LOL,u miss ll
2200,happiness,Here's a big moan for Dave Leyrock... IM UP IN 8HRS!  pity me! Coloursfest ahoy xo,here big moan dave leyrock in hi piti coloursfest hoy to
2205,happiness,"leaving work, going to crystal to search for her license, picking her and bia up, then heading to vegas. ugh i'm tired already",leav work go crystal search licens pick big head began ugh in tire
2213,happiness,At school. with everyone before the first classs of the day  18 days.,school class day day
2214,happiness,@EricS576 Thank you! You know I really love 'BHB',thank know love bob
2232,happiness,just joined twitter thanks to my M&amp;M!,join twitter thank camp
2233,happiness,good morning. have to get ready to go to the hospital and get a cat scan. best wishes to you.,good morn readi hospit cat scan best wish
2246,happiness,Had lunch. Watching holes on bbc1.,lunch watch hole bc
2248,happiness,"Ohhhh man  My mom got a bag of these caramel candy things, they're soooo good. I'm going to get so fat off of them ;__;",ohhhh man mon got bag calomel candi thing there soon good in go fat
2256,happiness,Happy Star Wars Day!,happi star war day
2266,happiness,I had the best weekend ever,best weekend
2283,happiness,ah what a lovely day for a bike ride and cake making  *is rooting 4 those who are revising!* do your best! X,ah love day bike ride cake make *i foot revising* best x
2293,happiness,it's too beautiful to stay inside,beauti stay insid
2306,happiness,Happy Mother's Day to every mommy out there,happi mother day mummi
2310,happiness,happy mothers day to all the yummy mummies on twitter,happi mother day mummi mummer twitter
2314,happiness,"@LemurToes It's pretty good, actually! A few lame episodes, but otherwise good. Give it a try!",pretti good actual lame episod good tri
2317,happiness,@breporter Thanks so much for following! The Muse has much gratitude and wishes you a magnificent &amp; productive start to your day!,thank follow muse gratitud wish magnific amp product start day
2321,happiness,"omg, the concert was awesome, madrigals gave me chills on almost every piece...brooks also called up alumni, but i didnt get to go",org concert awesom madrig gave chill piecebrook call calumni didn
2327,happiness,Yay almost home i had to go walking today .....,may home walk today
2330,happiness,yay .. sherbert and chocolate ... very nutritious,may herbert chocol nutrit
2331,happiness,"Morning twitties! Heading to college, just back from the docs, god I'm hungry  streching my ears again today! 10mm ;) payday I love you!",morn thirti head colleg doc god in hungri stretch ear today mm ) payday love
2336,happiness,"http://twitpic.com/4woxi - Btw, concert was freaking awesome",http://twitpiccom/work bow concert break awesom
2341,happiness,@LadyLogan Thats awesome!!  Good idea!!,that awesom good idea
2342,happiness,"? Polly Scattergood's new single out today! Download the Please Don't Touch EP on iTunes, it's ace!  http://tr.im/kpK8",polli scattergood new singl today download dont touch up tune ace http://trim/up
2346,happiness,"@williamduncan the archetype thing was for a comm. class that studied archetypes in popular media. reading your links now, thanks",archetyp thing come class studi archetyp popular medium read link thank
2347,happiness,With my jordie for a little bit,brodi littl bit
2354,happiness,Omega is tomorrow. Haven't really planned anything for it. Make sure to come if you can. It'll be awesome. Then move-in June 1st.,opera tomorrow haven plan sure come till awesom move june st
2356,happiness,"@JanieceLincoln Ha... Totally go for it. You're a journalism major, so it's a perfect fit.",ha total your journal major perfect fit
2364,happiness,Tribal Cafe.  Watermelon slush.  Natalie singing.  Ashley&quot;s birthday.  Love all around,trial cafe watermelon flush natali sing ashleyquot birthday love
2367,happiness,"@mrsgizara  we are at FOrt Belvoir, on base.  Hubs is stationed at the pentagon.  I cant wait for pug pups!!  I just looooove mine!",fort revoir base hub station pentagon can wait put pu looooov
2370,happiness,"@BryonyCatrin hey hey, some else has twitter!",hey hey twitter
2373,happiness,Horrible thought... I have to go back to work on Monday   Good thought... I only work for 90 minutes   Life is good.,horribl thought work monday good thought work minut life good
2387,happiness,A very exciting week,excit week
2398,happiness,Good Monday to all. It's still wet outside but inside I'm sunny  I'm feeling a surge of warmth and energy. This will be a good day!,good monday wet outsid insid in sunni in feel surg warmth energi good day
2399,happiness,Just got back from @LorenaJimenez 's party! Sooo much fun! Boom boom pow~ hahaha! ooh and I just told my mom happy mother's day,got parti soon fun boom boom now~ havana ooh told mon happi mother day
2419,happiness,i really wanna play....,anna play
2423,happiness,"@wrldfms i would, but i don't know how to do it from the phone...",dont know phone
2432,happiness,Eating a dillybar from DQ! Yuuum,eat dillybar do durum
2440,happiness,@MyAppleStuff oh he is so cute... is he in uniteddogs.com? Poppy is there,oh cut uniteddogscom poppi
2448,happiness,Sleep....take two....this better work!,sleeptak twothi better work
2462,happiness,I can't work twitter on my phone!  we're just in bed thinking of funny stuff from last night! (L) GOOD TIMES!,can work twitter phone bed think funni stuff night (l) good time
2467,happiness,I'm still pumped from the concert saturday. 17/7/09 here i come,in pump concert saturday // come
2482,happiness,@TheCharmQuark Hello! Happy bank holiday,hello happi bank holiday
2486,happiness,@whoaaitskristi OMG I'M SOO EXCITED! i've been waiting for it ever since i saw the 5th one at midnight the night before!,org in so excit give wait saw th midnight night
2489,happiness,@walkaboutgroup Have fun guys! We're about 55 days behind you,fun gun day
2493,happiness,@KennyJ88 that was good . but mean  haha,good mean hata
2497,happiness,Just watched the &quot;Final Break&quot; final prison break episode. It was great. Farewell Prison Break. You will be dearly missed.,watch quotfin breakquot final prison break episod great farewel prison break dearli miss
2498,happiness,@heartbomb haha i do! that was my fave san-x character. that's rirakkuma.,hata have sank charact that rirakkuma
2509,happiness,"@realchrissystar we'll be back sunday to play @ the horse, I was out last night at mex you were not  miss you",sunday play @ hors night me miss
2518,happiness,listening to some music!,listen music
2519,happiness,Archuleta &amp; Cook will arrive in 2 days!!,archuleta amp cook arriv day
2521,happiness,@Lara82 Yeah  He was such a good..erm...entertainment ),yeah goodermentertain )
2522,happiness,Just got a bunch of presents in the mail from my mama! So excited to open them on my birthday... 3 more days!,got bunch present mail mamma excit open birthday day
2537,happiness,"Wearing exactly the same clothes as I used to wear in Canada, beanie (or touque) and all.  Ahh brings back memories... I miss the snow",wear exactli cloth wear canada blain (or tongue) ah bring memori miss snow
2545,happiness,excited to jam + and auditions,excit jam + addit
2548,happiness,Needs a yummy breakfast after her shift,need mummi breakfast shift
2559,happiness,"Packing up for the trip to Ascari track, thank you Bacardi",pack trip scar track thank batard
2563,happiness,LMAO Twitting... thats never gonna get old haha!,may twist that donna old hata
2566,happiness,@jjkraal Thanks! Fotoreportage coming soon,thank fotoreportag come soon
2567,happiness,@jackalltimelow lucky! that's awesome,lucki that awesom
2570,happiness,alone @ home... nice  very nice!!,@ home nice nice
2572,happiness,welcome to the family new pillow  im going to lay my head on you tonight!!!,welcom famili new pillow in go lay head tonight
2583,happiness,Time for school  i'm feelin good.. 5 AM jogs do good. ~aloha,time school in feel good dog good ~alpha
2587,happiness,"@Irish1974 Yeah, it's good.  Just startled me.",yeah good startl
2591,happiness,Yum! Whole box of cookies for me,sum box coloni
2593,happiness,Thanks so much to everyone who came out to Speakeasy last night! What a hit. Wonderful to see you all having fun! June will be awesome.,thank came speaker night hit wonder fun june awesom
2596,happiness,Happy mother's day to all moms!,happi mother day moss
2599,happiness,@juliannerowat HAHAHHA lol true that! i always remember my BD but i can never remember what date or even day it is,ahahah ll true rememb by rememb date day
2602,happiness,@QuestCon That gave me a great smile. Nice way to end the day. You are so right,gave great smile nice way end day right
2608,happiness,I need a bear hug  and Im going to camp today!!,need bear hug in go camp today
2609,happiness,Just saw the new Star Trek movie. It was so good!! Zachary Quinto is amazingggg,saw new star tree movi good zachari into amazingggg
2614,happiness,"@RealBillBailey good moring mr bailey, it is my birthday today",good morn mr bailey birthday today
2618,happiness,@Sera030 heya  40 hour famine starts on may 22nd - are you gonna take part?,hey hour famin start nd donna
2657,happiness,"@chachada1 Yeah im following you, Hun! Goodnight",yeah in follow run goodnight
2666,happiness,Good morning! It's going to be a kick-butt day!,good morn go kickbutt day
2669,happiness,@kirstiealley It'd be nice but soon we'll have to Pay to Tweet,it nice soon pay sweet
2677,happiness,"@JasonBradbury nice on the jet ski testing! Hope the book is going well. Cheers for adding me, got twitter after watching the gadget show",nice jet ski test hope book go cheer ad got twitter watch cadet
2684,happiness,"i beat aye to the music hall.  babyy, im like the cinnamon that beat the apple to the apple jacks.",beat aye music hall babi in like cinnamon beat appl appl jack
2689,happiness,@MariahCarey Happy mother's day to Ms. Pat Carey,happi mother day m pat care
2692,happiness,@hottieann2145 nice to meet ya!,nice meet a
2695,happiness,Off to finish the book &quot;nudge&quot; then going to write some,finish book quotnudgequot go write
2698,happiness,Happy Mother's Daaay!!,happi mother away
2710,happiness,@DinoLich I know! But I still want to see it,know want
2711,happiness,"Last day of holydays, gotta get back to work    Anyway, 2 great weeks",day holiday gutta work great week
2733,happiness,what fun!  I got retweeted by a bot,fun got retreat not
2742,happiness,"@bandit_zero its cool, and thats good",cool that good
2750,happiness,Good morning from RSA Twitterverse!! Please send me some happy vibes &amp; cheerfulness today I'm feeling a little sad,good morn sa twittervers send happi vice amp cheer today in feel littl sad
2758,happiness,"is eating lunch at Sushi Tei, Sency yum! met Ghina earlier",eat lunch such ten lenci sum met china earlier
2774,happiness,learn to fly higher...!  http://tinyurl.com/30tools,learn fli higher http://tinyurlcom/tool
2788,happiness,I actually got a bit of a tan today haha sadly will be working all weekend won't get a chance to enjoy the glorious sunrays boo,actual got bit an today hata sadli work weekend wont chanc enjoy gloriou sunday too
2795,happiness,School. School. School.  today seems like it's going to be a great day!,school school school today like go great day
2796,happiness,i am kind of excited to go to school today. i dont know why. hopefully it will be a good day,kind excit school today dont know hope good day
2802,happiness,I'm learning the guitar very quickly. It's coming naturally,in learn guitar quickli come natur
2817,happiness,TGIF!! Its a GORGEOUS day in Reno today. And I'm stuck inside.,thi gorgeou day rent today in stuck insid
2823,happiness,Wishing @Blacksocialite a Happy Mothers Day,wish happi mother day
2833,happiness,this one goes out to Jimmy Fallon and Justin Timberlake...doin' their Gibb Bros show on SNL  ? http://blip.fm/~5z1vd,goe jimmi fallen austin timberlakedoin gibb brow sal http://blipfm/~and
2838,happiness,"The sun is shining brightly and the day has just begun! What's in store? Wandering around les calanques maybe? Vin, definitely!",sun shine brightli day begun what store wander le calanqu mayb in definit
2842,happiness,aha @Sadie_marie my brother's wallpaper on his phone is Dolly The Sheep  aha i'm loling.,ah brother wallpap phone folli sheep ah in lose
2843,happiness,@XoGraceoX hahaha im listening to SHES A LADY! haha ily FTSK    xx,havana in listen she ladi hata ill it xx
2845,happiness,Chilling out listning to Seal!!,shill listen seal
2855,happiness,@bluevolvic  awesome   I'll have to keep a look out for it!,awesom ill look
2867,happiness,"Sold bikes faster than expected, and we are running out of sizes.    Luckily the single speeds are on the ocean now! ETA -  EO June.",sold bite faster expect run size luckili singl speed ocean tea to june
2869,happiness,back in Durango. Chaperoning a party. interesting. catching up on my internet surfing and drinking a woodchuck. ha.,dure chaperon parti interest catch internet surg drink woodcock ha
2875,happiness,Saw Xmen Origins on Sat! By far the BEST Xmen movie! AMAZING!!!,saw men origin sat far best men movi amaz
2884,happiness,New Project is going incredibly well! and I'm not tired today  I think we should get all Monday's off. Permanently.,new project go incred in tire today think monday perman
2887,happiness,@amber_benson thanks for the message! been a fan since forever; actually met you back in '03. So glad I stumbled upon your twitter,thank messag fan forev actual met glad stumbl twitter
2906,happiness,finally made it to the QC...happy mother's day!  got my car!!,final happi mother day got car
2908,happiness,@taylorswift13 Mine too! Hayley is great,harley great
2910,happiness,@aub311 Dang me too! It's only a 4 hour drive! Too bad it's my daughters 1st bday party  it's hosted by Donnie,sang hour drive bad daughter st day parti post donn
2914,happiness,@texasjackflash thnx 4 the follow,the follow
2923,happiness,Exploring Twitter's world! me 2,explor twitter world
2924,happiness,"@ukrainiac yea, I was just about to say something  It's great to hear! Ukrainian!",yea great hear ukrainian
2933,happiness,http://snipurl.com/hq0n1 Just printed my mom an Amazon gift card  for Happy Mothers Day talk about last minute.,http://snipurlcom/hen print mon amazon gift card happi mother day talk minut
2952,happiness,"Planning to install Windows 7 tomorrow, so probably no new posts for another few days at least",plan instal window tomorrow probabl new post day
2953,happiness,http://twitpic.com/4jj43 - Me and Ari,http://twitpiccom/j are
2954,happiness,eating truffles  yum!,eat trifl sum
2955,happiness,@mjasenn i totally owe you a week of on-call duties.  i appreciate not having those while jill is in town,total owe week call duti appreci will town
2969,happiness,Happy Mother's Day!,happi mother day
2983,happiness,100 Followers  Bom Dia!!,follow boy did
2995,happiness,@agoodstein @timknapton what good role models...  i like how yinz think!,good role model like linz think
3011,happiness,about to take my mum out for jewellery shopping and a coffee for mothers day,sum jewelleri shop coffe mother day
3023,happiness,@jodiontheweb Isn't that hilarious? Hope you saw the Crosby is a douche shirt I picked up and wore bc of it.,isn hilari hope saw cross fouch shirt pick wore bc
3042,happiness,listening to the best days of your life by kellie pickler,listen best day life keloid pickl
3043,happiness,im exploring my home xD (back from vacation!) Nice to be @ home!,in explor home d (back vacation) nice @ home
3050,happiness,14 days until Boyzone,day boon
3054,happiness,@AlohaZen do u hav a garden? bunny probs r decidedly uncool.   thanks 4d link!,u had garden funni probe r decidedli cool thank d link
3061,happiness,@indiepixie omg a roach was in my room for the first time ever in this apartment today. I hope I don't have Patricia luck next,org reach room time apart today hope dont patrick luck
3068,happiness,is rockin' a minivan til the STi is ready. I miss it already,rock midian til st readi miss
3073,happiness,@gcrush thank YOU!! You guys did awesome things for my blog tonight  so grateful!!,thank gun awesom thing blow tonight grate
3076,happiness,ok peeps have good morning I'm going to bed   @ClickedApps hit me up later,ok keep good morn in go bed hit later
3085,happiness,"Home. Tired. Phone then bed.   Good night tweeters, happy mothers day!",home tire phone bed good night theater happi mother day
3093,happiness,feels accomplished!!!  She got a lot done today! http://plurk.com/p/stns9,feel accomplish got lot today http://plurkcom/p/son
3096,happiness,is having fun with the traditional family dinner party for Mother's Day...,fun tradit famili dinner parti mother day
3098,happiness,wishes she would call him ...   *hc*,wish *he*
3117,happiness,"we finally got our graduation gear today, i'm so excited. can you believe it? just 41 days left! aaah  and the sweater is so cozy",final got granul gear today in excit believ day left aah sweeter copi
3126,happiness,"just about to go home. I'm usually 'mr. positive' but this has been one of those daze. well, 15 mins until tomorrow!",home in usual mr posit date mind tomorrow
3137,happiness,@WKJThD You are very much welcome,welcom
3146,happiness,@ChrisKalydo Happy STAR WARS Day,happi star war day
3153,happiness,Watching Sex &amp; The City at my brothers soccer game. I have totally defited the purpose of coming.. Hehe,watch sex amp citi brother soccer game total defin purpos come here
3166,happiness,...love and wanted to share with my followers. feeling inspirational. ive had a long day.,love want share follow feel inspir give long day
3176,happiness,@BreakfastNews ETS (Endoscopic thoracic sympathectomy) is an invaluable surgical procedure,it (endoscop thorac sympathectomy) invalu surgic procedur
3185,happiness,"Photo: jdperry: Seriously, theseï¿½pictures make my day.  Hahaha. Iï¿½always just go aroundï¿½saying ï¿½OMG did you... http://tumblr.com/xzn1pir8s",photo: perry: serious day havana http://tumblrcom/xznpir
3196,happiness,"@AlyceMadden why arent u famous already? lol you have a very adoring fan, that fan would do anything for you hehehe, im you no.1 fan",agent u famou ll ador fan fan helen in no fan
3202,happiness,@elle6503 Woo Hoo.!  I made it to one of your Favorites!  See.... Monday's Rock!!,who how favorit monday rock
3220,happiness,"Back from the gym, just checkin' email. Gonna go watch an old movie or something. It's a little cool out to sit outside and read!",grm check email donna watch old movi littl cool sit outsid read
3229,happiness,@dannnnnniiiie lol brandy and mr whiskers is on,ll brandi mr whisker
3235,happiness,had an awsome salad! I recommend getting the Spicey buffalo chicken salad!,some salad recommend get spice buffalo chicken salad
3241,happiness,getting ready to lay out by the pool....,get readi lay pool
3262,happiness,such.a.tease.,suchateas
3264,happiness,We*d Man On His Way     Yess!!    Time 2 Wake Up 4 Real  lol,we*d man way ye time wake real ll
3271,happiness,yeaaaah tangerang in vacation,yeaaaah tangerin vacat
3272,happiness,@xoJennyPennyxo I like too  how are you?,like
3275,happiness,@TheFifthSister So happy you came and said hi! Twas very nice to meet you indeed  Thanks so much for coming over and talking to me,happi came said hi twa nice meet thank come talk
3279,happiness,haha wow there's a song called 'hit me on twitter' lmao. okay g'night,hata now there song call hit twitter may okay night
3291,happiness,@alidg take me with you!!!  Have fun!,fun
3293,happiness,"The weather is SO nice! And there were so many hot guys in town, I felt like a kid in a candy store. Except all the candies are straight",weather nice hot gun town felt like kid candi store candl straight
3309,happiness,@LovelyLu very nice...i cleared my head,nice clear head
3317,happiness,@tracysummers04 Im pleased hun,in plea run
3333,happiness,"We did it last year right around the time The Black Parade is Dead! came out. Awesome times, man.",year right time black parad dead came awesom time man
3347,happiness,@Courageous_one Very much so.  Setting some goals for the next couple of months in preparation,set goal coupl month prepar
3356,happiness,@apattys ... Yes.  That's what I said.,ye that said
3357,happiness,@sdelighted Oh yay! Glad you are there and having fun with the baby.,oh may glad fun babi
3358,happiness,Today is another good day for some less extreme experiences... Anyone a fan of #24? I'm watching season 4 now,today good day extrem experi fan # in watch season
3363,happiness,@jobondi Awsome thanks Jo...Can't wait for her to be on  xx,some thank joint wait xx
3365,happiness,@taylorswift13 i wish you could come to Swindon...2 hours away...its my dream to meet you  xoxo,wish come swindon hour await dream meet too
3366,happiness,"@bumblebeex0 yeah the freedom is awesome, it's great being a little more independent",yeah freedom awesom great littl independ
3370,happiness,@ BeardBurk: Their being optimistic,@ beardburk: optimist
3372,happiness,"@ElePhatt  LOL thanks you,  nice meeting you aswell, looking forward to our tweetversation",ll thank nice meet swell look forward tweetvers
3378,happiness,Good Afternoon,good afternoon
3389,happiness,which is why i can't wait till i move out of home and life by myself next year  WACKY ADVENTURES EVERY DAY!!!!!,can wait till home life year way adventur day
3391,happiness,@EMarketingGuru Hi I have uploaded 5 completely new Chinese Lessons on www.youtube.com/ChineseLearn Please feel free to watch and enjoy,hi unload complet new chine lesson wwwyoutubecom/chineselearn feel free watch enjoy
